Prediction,DiffDock Confidence,SMINA Affinity,SMINA Intramolecular Energy,SMINA Minimized Affinity,SMINA Minimized RMSD
rank1_confidence-1.78.sdf,-1.78,49.80067,-0.69748,-5.26472,4.91461
rank2_confidence-1.80.sdf,-1.8,58.50552,-0.55168,-4.46885,5.23036
rank3_confidence-1.80.sdf,-1.8,49.06816,-0.7091,8.83346,2.20585
rank4_confidence-1.89.sdf,-1.89,53.32074,-0.66173,8.24201,1.79097
rank5_confidence-1.92.sdf,-1.92,56.04285,-0.56548,6.47619,3.22636
rank6_confidence-1.97.sdf,-1.97,58.29182,-0.6358,-3.10093,4.57794
rank7_confidence-2.03.sdf,-2.03,56.45604,-0.52055,-5.09,5.13185
rank8_confidence-2.09.sdf,-2.09,54.9156,-0.61079,8.066,2.14059
rank9_confidence-2.10.sdf,-2.1,52.49574,-0.75633,6.65733,2.58098
rank10_confidence-2.11.sdf,-2.11,64.98289,-0.54646,3.70134,3.79979
rank11_confidence-2.11.sdf,-2.11,47.19342,-0.69031,7.07966,2.39802
rank12_confidence-2.16.sdf,-2.16,68.00863,-0.5826,3.26138,3.54531
rank13_confidence-2.16.sdf,-2.16,71.56518,-0.75035,7.2166,3.02081
rank14_confidence-2.17.sdf,-2.17,58.97886,-0.77503,3.54096,3.11013
rank15_confidence-2.17.sdf,-2.17,80.86078,-0.76319,7.19185,3.12613
rank16_confidence-2.19.sdf,-2.19,66.86271,-0.54054,-4.21765,6.34684
rank17_confidence-2.22.sdf,-2.22,53.73874,-0.64795,6.43669,2.60575
rank18_confidence-2.22.sdf,-2.22,69.38137,-0.5413,-2.81835,5.76278
rank19_confidence-2.24.sdf,-2.24,50.33332,-0.68984,-3.98894,4.58102
rank20_confidence-2.24.sdf,-2.24,56.37466,-0.70391,7.15509,2.63357
rank21_confidence-2.25.sdf,-2.25,60.66001,-0.77874,6.97074,2.97984
rank22_confidence-2.26.sdf,-2.26,60.5917,-0.80497,2.56608,4.06976
rank23_confidence-2.31.sdf,-2.31,67.15345,-0.72794,5.00974,3.47974
rank24_confidence-2.32.sdf,-2.32,58.2562,-0.77317,5.63707,2.75603
rank25_confidence-2.36.sdf,-2.36,55.97382,-0.61374,7.08744,2.52291
rank26_confidence-2.37.sdf,-2.37,60.34468,-0.57313,-2.53127,5.81328
rank27_confidence-2.38.sdf,-2.38,53.99287,-0.75045,3.38133,3.55726
rank28_confidence-2.40.sdf,-2.4,68.43013,-0.73796,6.86796,2.36097
rank29_confidence-2.43.sdf,-2.43,52.4445,-0.70795,-4.28598,4.56212
rank30_confidence-2.44.sdf,-2.44,55.27978,-0.67458,6.88388,2.19242
rank31_confidence-2.46.sdf,-2.46,71.9254,-0.61283,-5.21165,5.68244
rank32_confidence-2.46.sdf,-2.46,52.63722,-0.69339,3.27556,3.33335
rank33_confidence-2.47.sdf,-2.47,90.01455,-0.584,39.29136,1.84239
rank34_confidence-2.47.sdf,-2.47,62.09774,-0.76679,-4.63518,4.95452
rank35_confidence-2.49.sdf,-2.49,69.51531,-0.54812,3.30495,3.57043
rank36_confidence-2.54.sdf,-2.54,59.89243,-0.62134,6.92177,2.20272
