File;Software;Chain;No. of intermolecular contacts;No. of charged-charged contacts;No. of charged-polar contacts;No. of charged-apolar contacts;No. of polar-polar contacts;No. of apolar-polar contacts;No. of apolar-apolar contacts;Percentage of apolar NIS residues;Percentage of charged NIS residues;Predicted binding affinity;Predicted dissociation constant
Model 3 Haddock wt spe;Haddock_wt_spe;Heavy chain;76.0;6.0;16.0;22.0;8.0;13.0;11.0;36.94;23.38;-10.0;4.9e-08
Model 3 Haddock wt spe;Haddock_wt_spe;Light chain;37.0;5.0;6.0;3.0;3.0;10.0;10.0;36.94;23.38;-8.3;8.7e-07
Model 4 Haddock wt spe;Haddock_wt_spe;Heavy chain;15.0;0.0;1.0;6.0;0.0;4.0;4.0;36.84;23.59;-7.3;4.3e-06
Model 4 Haddock wt spe;Haddock_wt_spe;Light chain;69.0;3.0;14.0;15.0;7.0;20.0;10.0;36.84;23.59;-10.8;1.3e-08
Model 8 Haddock wt spe;Haddock_wt_spe;Heavy chain;52.0;2.0;7.0;15.0;8.0;10.0;10.0;37.01;23.44;-8.2;9.9e-07
Model 8 Haddock wt spe;Haddock_wt_spe;Light chain;22.0;4.0;5.0;6.0;1.0;2.0;4.0;37.01;23.44;-7.0;7e-06
Model 9 Haddock wt spe;Haddock_wt_spe;Heavy chain;13.0;0.0;1.0;4.0;0.0;3.0;5.0;36.86;23.4;-6.9;8.6e-06
Model 9 Haddock wt spe;Haddock_wt_spe;Light chain;58.0;1.0;9.0;17.0;4.0;16.0;11.0;36.86;23.4;-10.5;2.1e-08
Model 1 Haddock wt spe;Haddock_wt_spe;Light chain;15.0;0.0;2.0;3.0;0.0;5.0;5.0;36.3;23.68;-7.3;4.2e-06
Model 1 Haddock wt spe;Haddock_wt_spe;Heavy chain;38.0;7.0;2.0;13.0;0.0;9.0;7.0;36.3;23.68;-9.9;5.5e-08
Model 2 Haddock wt spe;Haddock_wt_spe;Light chain;11.0;2.0;5.0;4.0;0.0;0.0;0.0;36.59;23.37;-6.5;1.8e-05
Model 2 Haddock wt spe;Haddock_wt_spe;Heavy chain;93.0;5.0;14.0;21.0;12.0;19.0;22.0;36.59;23.37;-10.4;2.3e-08
Model 5 Haddock wt spe;Haddock_wt_spe;Light chain;0;0;0;0;0;0;0;0;0;0;0
Model 5 Haddock wt spe;Haddock_wt_spe;Heavy chain;25.0;3.0;9.0;8.0;1.0;4.0;0.0;36.8;23.33;-7.6;2.5e-06
Model 0 Cluspro w spe;Cluspro_w_spe;Light chain;14;0;0;5;0;2;7;36.78;23.56;-6.8;0.000011
Model 1 Cluspro w spe;Cluspro_w_spe;Light chain;23;0;2;8;0;5;14;36.71;23.52;-7.8;0.000002
Model 2 Cluspro w spe;Cluspro_w_spe;Light chain;57;0;5;12;13;22;5;36.8;23.51;-9.5;0.00000011
Model 3 Cluspro w spe;Cluspro_w_spe;Light chain;43;0;5;6;3;13;16;36.62;23.6;-8.8;0.00000035
Model 4 Cluspro w spe;Cluspro_w_spe;Light chain;42;0;4;7;4;21;6;36.89;23.6;-10.5;0.000000021
Model 5 Cluspro w spe;Cluspro_w_spe;Light chain;41;0;6;12;2;7;14;36.76;23.51;-8.2;0.00000093
Model 6 Cluspro w spe;Cluspro_w_spe;Light chain;67;3;3;5;9;33;14;36.82;23.45;-12.3;0.0000000009
Model 7 Cluspro w spe;Cluspro_w_spe;Light chain;36;0;4;5;3;15;9;36.86;23.58;-9.1;0.00000021
Model 0 Cluspro w spe;Cluspro_w_spe;Heavy chain;35;2;10;8;2;9;4;36.78;23.56;-8.5;0.00000063
Model 1 Cluspro w spe;Cluspro_w_spe;Heavy chain;41;3;14;8;5;7;4;36.71;23.52;-7.5;0.000003
Model 2 Cluspro w spe;Cluspro_w_spe;Heavy chain;28;5;3;12;0;3;5;36.8;23.51;-8.2;0.000001
Model 3 Cluspro w spe;Cluspro_w_spe;Heavy chain;42;7;5;17;0;5;8;36.62;23.6;-9.3;0.00000014
Model 4 Cluspro w spe;Cluspro_w_spe;Heavy chain;55;6;13;13;3;16;4;36.59;23.6;-10.7;0.000000014
Model 5 Cluspro w spe;Cluspro_w_spe;Heavy chain;44;2;14;8;5;11;4;36.76;23.51;-8.3;0.00000077
Model 6 Cluspro w spe;Cluspro_w_spe;Heavy chain;38;8;10;8;1;6;5;36.82;23.45;-8.5;0.00000054
Model 7 Cluspro w spe;Cluspro_w_spe;Heavy chain;44;1;10;12;2;9;10;36.86;23.58;-8.7;0.00000038
Model 0 Cluspro wt spe;Cluspro_wt_spe;Light chain;3;0;2;1;0;0;0;36.3;23.74;-6;4.1e-05
Model 1 Cluspro wt spe;Cluspro_wt_spe;Light chain;0;0;0;0;0;0;0;0;0;0;0
Model 2 Cluspro wt spe;Cluspro_wt_spe;Light chain;32;2;5;14;1;5;5;36.31;23.66;-8.7;6.6e-07
Model 3 Cluspro wt spe;Cluspro_wt_spe;Light chain;44;5;5;13;5;12;4;36.56;23.53;-9.4;1.3e-07
Model 4 Cluspro wt spe;Cluspro_wt_spe;Light chain;45;9;6;18;0;1;11;36.1;23.76;-8.8;3.5e-07
Model 5 Cluspro wt spe;Cluspro_wt_spe;Light chain;14;2;2;1;3;6;0;36.07;23.77;-7.0;7.5e-06
Model 6 Cluspro wt spe;Cluspro_wt_spe;Light chain;34;2;2;10;2;10;8;36.59;23.49;-8.9;2.8e-07
Model 7 Cluspro wt spe;Cluspro_wt_spe;Light chain;45;8;9;12;1;6;9;35.75;23.74;-9.1;2.1e-07
Model 8 Cluspro wt spe;Cluspro_wt_spe;Light chain;4;0;2;1;1;0;0;36.59;23.46;-5.8;5.8e-05
Model 9 Cluspro wt spe;Cluspro_wt_spe;Light chain;30;2;1;3;3;14;7;36.39;23.41;-9.0;2.6e-07
Model 0 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;58;7;7;20;2;11;11;36.3;23.74;-10.7;1.5e-08
Model 1 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;20;2;3;8;0;7;0;36.54;23.48;-8.5;6.3e-07
Model 2 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;29;1;13;8;2;3;2;36.31;23.66;-7.1;6.4e-06
Model 3 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;31;3;11;2;3;5;7;36.56;23.53;-6.9;8.8e-06
Model 4 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;15;0;3;4;1;4;3;36.1;23.76;-7.0;0.000007
Model 5 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;79;9;10;17;4;16;23;36.07;23.77;-11.3;0.000000005
Model 6 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;28;5;3;11;0;4;5;36.59;23.49;-8.3;7.6e-07
Model 7 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;38;2;4;15;0;5;12;35.75;23.74;-8.8;3.4e-07
Model 8 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;50;7;9;14;2;6;12;36.59;23.46;-8.9;0.0000003
Model 9 Cluspro wt spe;Cluspro_wt_spe;Heavy chain;50;4;11;14;0;9;12;36.39;23.41;-9.7;7.3e-08
