Rank;RBN;Docking method;Dgprediction (low refinement) (Kcal/mol);CC;CN;CO;CX;NN;NO;NX;OO;OX;XX
Rank1;RBN3143;Diffdock;-5.38;154;205;193;263;45;79;84;34;66;0
Rank2;RBN3143;Diffdock;-5.42;150;208;186;287;43;81;82;35;75;1
Rank3;RBN3143;Diffdock;-5.42;154;203;194;269;43;79;83;33;66;0
Rank4;RBN3143;Diffdock;-5.50;150;203;187;261;41;79;82;33;63;1
Rank5;RBN3143;Diffdock;-5.31;153;205;188;278;44;78;83;35;70;0
Rank6;RBN3143;Diffdock;-5.36;150;207;191;260;44;79;83;34;66;0
Rank7;RBN3143;Diffdock;-5.46;150;202;187;268;41;78;82;34;69;1
Rank8;RBN3143;Diffdock;-5.41;155;206;192;265;46;77;84;33;68;0
Rank9;RBN3143;Diffdock;-5.30;149;203;187;274;42;81;78;35;64;0
Rank10;RBN3143;Diffdock;-5.27;150;206;188;278;43;84;78;36;64;0
Rank1;RBN3143;Dynamic Bind;-9.25;2311;1081;918;258;114;79;195;76;61;1
Rank2;RBN3143;Dynamic Bind;-9.46;2442;1193;955;284;134;80;215;74;69;0
Rank3;RBN3143;Dynamic Bind;-9.40;2412;1165;973;251;122;76;227;83;63;1
Rank4;RBN3143;Dynamic Bind;-9.24;2340;1141;951;255;120;76;223;83;67;1
Rank5;RBN3143;Dynamic Bind;-9.10;2287;1150;925;263;129;75;212;78;67;0
Rank6;RBN3143;Dynamic Bind;-9.24;2411;1180;956;250;136;74;234;84;62;1
Rank7;RBN3143;Dynamic Bind;-9.39;2404;1145;967;259;122;73;210;82;66;1
Rank8;RBN3143;Dynamic Bind;-9.13;2416;1211;959;259;134;79;228;84;60;0
Rank9;RBN3143;Dynamic Bind;-9.36;2396;1151;980;254;129;74;209;82;64;0
Rank10;RBN3143;Dynamic Bind;-9.28;2395;1208;969;251;139;74;230;82;63;0
Rank1;RBN012759;Diffdock;-5.26;93;121;168;267;31;79;67;36;69;1
Rank2;RBN012759;Diffdock;-5.19;88;112;167;263;30;80;62;34;66;0
Rank3;RBN012759;Diffdock;-5.13;96;120;163;264;30;78;67;35;69;0
Rank4;RBN012759;Diffdock;-5.14;104;135;165;266;34;76;70;35;68;0
Rank5;RBN012759;Diffdock;-5.18;88;111;165;262;30;80;62;34;66;0
Rank6;RBN012759;Diffdock;-5.26;106;134;167;261;31;81;67;32;66;0
Rank7;RBN012759;Diffdock;-5.19;84;108;162;259;30;80;64;33;66;0
Rank8;RBN012759;Diffdock;-5.20;86;110;163;261;30;80;63;33;66;0
Rank9;RBN012759;Diffdock;-5.11;91;110;161;275;29;79;64;35;71;0
Rank10;RBN012759;Diffdock;-5.14;87;110;160;254;29;81;63;34;65;0
Rank1;RBN012759;Dynamic Bind;-8.78;2106;981;799;260;101;77;170;65;66;1
Rank2;RBN012759;Dynamic Bind;-8.90;2100;961;816;254;95;74;169;65;64;1
Rank3;RBN012759;Dynamic Bind;-8.94;2096;989;806;264;104;75;173;62;67;1
Rank4;RBN012759;Dynamic Bind;-8.99;2081;965;818;245;93;74;167;63;61;1
Rank5;RBN012759;Dynamic Bind;-8.99;2182;1005;833;258;100;74;175;66;62;1
Rank6;RBN012759;Dynamic Bind;-8.87;2095;982;801;250;101;74;171;63;65;1
Rank7;RBN012759;Dynamic Bind;-8.83;2105;995;809;244;103;77;175;62;63;0
Rank8;RBN012759;Dynamic Bind;-8.93;2164;1009;827;262;96;77;173;63;61;0
Rank9;RBN012759;Dynamic Bind;-9.10;2173;1046;823;263;109;79;188;61;63;1
Rank10;RBN012759;Dynamic Bind;-9.03;2214;1059;837;279;117;79;186;62;67;0
